Time,Data_proportion,Algorithm
0.0010408639907836914,100,Sklearn
0.07746405601501465,100,Mine
0.0013928651809692384,90,Sklearn
0.11497788429260254,90,Mine
0.001390838623046875,80,Sklearn
0.08662965297698974,80,Mine
0.0009993791580200195,70,Sklearn
0.05833466053009033,70,Mine
0.0015903711318969727,60,Sklearn
0.09315948486328125,60,Mine
0.0007430553436279297,50,Sklearn
0.03854303359985352,50,Mine
0.0011410236358642579,40,Sklearn
0.07058219909667969,40,Mine
0.0009402036666870117,30,Sklearn
0.0392411470413208,30,Mine
0.00029764175415039065,20,Sklearn
0.013185453414916993,20,Mine
0.00019865036010742189,10,Sklearn
0.006497430801391602,10,Mine
0.0014953374862670898,100,Sklearn
0.1084749698638916,100,Mine
0.0014379262924194337,90,Sklearn
0.12469489574432373,90,Mine
0.0016813993453979493,80,Sklearn
0.12896466255187988,80,Mine
0.0010009288787841796,70,Sklearn
0.06400911808013916,70,Mine
0.0012993812561035156,60,Sklearn
0.0816636323928833,60,Mine
0.0007509231567382812,50,Sklearn
0.03347048759460449,50,Mine
0.0010892152786254883,40,Sklearn
0.06903769969940185,40,Mine
0.0009934186935424804,30,Sklearn
0.04578456878662109,30,Mine
0.0008433818817138672,20,Sklearn
0.027666258811950683,20,Mine
0.0006952762603759765,10,Sklearn
0.01701228618621826,10,Mine
0.001437997817993164,100,Sklearn
0.10891003608703613,100,Mine
0.001362442970275879,90,Sklearn
0.11897778511047363,90,Mine
0.0015057086944580077,80,Sklearn
0.13331000804901122,80,Mine
0.0011835336685180665,70,Sklearn
0.1105189561843872,70,Mine
0.001653575897216797,60,Sklearn
0.08674447536468506,60,Mine
0.0007484912872314453,50,Sklearn
0.05009615421295166,50,Mine
0.0009981155395507812,40,Sklearn
0.05504035949707031,40,Mine
0.0010915756225585937,30,Sklearn
0.06298625469207764,30,Mine
0.0004965066909790039,20,Sklearn
0.024898481369018555,20,Mine
0.00024802684783935546,10,Sklearn
0.008736252784729004,10,Mine
0.001588153839111328,100,Sklearn
0.11422116756439209,100,Mine
0.0012419462203979493,90,Sklearn
0.11610751152038574,90,Mine
0.0014428138732910157,80,Sklearn
0.08867645263671875,80,Mine
0.0013402223587036133,70,Sklearn
0.08878922462463379,70,Mine
0.0011915922164916991,60,Sklearn
0.07420682907104492,60,Mine
0.0012388944625854493,50,Sklearn
0.07458178997039795,50,Mine
0.0006822824478149414,40,Sklearn
0.026820778846740723,40,Mine
0.0006569147109985352,30,Sklearn
0.020420050621032713,30,Mine
0.0006004810333251953,20,Sklearn
0.022420120239257813,20,Mine
0.0006944656372070313,10,Sklearn
0.013982701301574706,10,Mine
0.0017884731292724609,100,Sklearn
0.1223862648010254,100,Mine
0.0014408349990844727,90,Sklearn
0.10644562244415283,90,Mine
0.0014884233474731444,80,Sklearn
0.12717719078063966,80,Mine
0.001025080680847168,70,Sklearn
0.06273050308227539,70,Mine
0.0011468648910522461,60,Sklearn
0.07068018913269043,60,Mine
0.0010410547256469727,50,Sklearn
0.05361309051513672,50,Mine
0.001185441017150879,40,Sklearn
0.09007744789123535,40,Mine
0.0004942417144775391,30,Sklearn
0.019685697555541993,30,Mine
0.00030405521392822265,20,Sklearn
0.014775300025939941,20,Mine
0.00034792423248291015,10,Sklearn
0.006749176979064941,10,Mine
0.0014972448348999023,100,Sklearn
0.10221867561340332,100,Mine
0.0016847848892211914,90,Sklearn
0.13758044242858886,90,Mine
0.0019361734390258788,80,Sklearn
0.13208768367767335,80,Mine
0.0010933160781860351,70,Sklearn
0.06518363952636719,70,Mine
0.0011883020401000977,60,Sklearn
0.08114266395568848,60,Mine
0.0007437467575073242,50,Sklearn
0.03327698707580566,50,Mine
0.0013381242752075195,40,Sklearn
0.06349754333496094,40,Mine
0.001029062271118164,30,Sklearn
0.0454444408416748,30,Mine
0.0008923292160034179,20,Sklearn
0.028617119789123534,20,Mine
0.0007436037063598633,10,Sklearn
0.014118385314941407,10,Mine
0.001736760139465332,100,Sklearn
0.1265244722366333,100,Mine
0.0016193628311157227,90,Sklearn
0.11898105144500733,90,Mine
0.0013486623764038086,80,Sklearn
0.08580899238586426,80,Mine
0.00120697021484375,70,Sklearn
0.06459660530090332,70,Mine
0.0016822099685668945,60,Sklearn
0.10837137699127197,60,Mine
0.0006004810333251953,50,Sklearn
0.03436861038208008,50,Mine
0.0007935285568237305,40,Sklearn
0.04000680446624756,40,Mine
0.0009959936141967773,30,Sklearn
0.04835567474365234,30,Mine
0.0010385990142822265,20,Sklearn
0.043407106399536134,20,Mine
0.0005962133407592773,10,Sklearn
0.014183449745178222,10,Mine
0.0017345666885375977,100,Sklearn
0.13844239711761475,100,Mine
0.0014875411987304687,90,Sklearn
0.10063652992248535,90,Mine
0.0014963150024414062,80,Sklearn
0.09633138179779052,80,Mine
0.0016398668289184571,70,Sklearn
0.10495836734771728,70,Mine
0.0009360074996948242,60,Sklearn
0.05337257385253906,60,Mine
0.0010545730590820312,50,Sklearn
0.07066330909729004,50,Mine
0.0012961387634277343,40,Sklearn
0.05927932262420654,40,Mine
0.0006977796554565429,30,Sklearn
0.034413623809814456,30,Mine
0.0005484342575073243,20,Sklearn
0.017611145973205566,20,Mine
0.0004429340362548828,10,Sklearn
0.007111215591430664,10,Mine
0.001847982406616211,100,Sklearn
0.1232083797454834,100,Mine
0.0013443470001220704,90,Sklearn
0.11824736595153809,90,Mine
0.0016348123550415038,80,Sklearn
0.1288379907608032,80,Mine
0.0013389825820922852,70,Sklearn
0.08405718803405762,70,Mine
0.0010899066925048827,60,Sklearn
0.05604608058929443,60,Mine
0.0012978076934814452,50,Sklearn
0.07670669555664063,50,Mine
0.0012871265411376954,40,Sklearn
0.06458032131195068,40,Mine
0.0011914730072021484,30,Sklearn
0.05233066082000733,30,Mine
0.0007920742034912109,20,Sklearn
0.02792520523071289,20,Mine
0.0002985954284667969,10,Sklearn
0.0072403430938720705,10,Mine
0.0016427040100097656,100,Sklearn
0.1271273136138916,100,Mine
0.0016841650009155273,90,Sklearn
0.10590581893920899,90,Mine
0.0016377687454223633,80,Sklearn
0.11179544925689697,80,Mine
0.0013784170150756836,70,Sklearn
0.08020153045654296,70,Mine
0.0009743452072143554,60,Sklearn
0.06417169570922851,60,Mine
0.001451587677001953,50,Sklearn
0.07458171844482422,50,Mine
0.0012545108795166016,40,Sklearn
0.06043486595153809,40,Mine
0.0010904312133789063,30,Sklearn
0.047388005256652835,30,Mine
0.0005467891693115235,20,Sklearn
0.01677083969116211,20,Mine
0.00029630661010742186,10,Sklearn
0.0070721149444580075,10,Mine
0.0013865947723388672,100,Sklearn
0.11165213584899902,100,Mine
0.0015318870544433593,90,Sklearn
0.15996079444885253,90,Mine
0.0014826297760009766,80,Sklearn
0.10534229278564453,80,Mine
0.0016363143920898437,70,Sklearn
0.14443643093109132,70,Mine
0.0011310338973999023,60,Sklearn
0.059181928634643555,60,Mine
0.0010362386703491211,50,Sklearn
0.07103126049041748,50,Mine
0.0006425380706787109,40,Sklearn
0.04586849212646484,40,Mine
0.0005979776382446289,30,Sklearn
0.02302069664001465,30,Mine
0.0004464626312255859,20,Sklearn
0.013983654975891113,20,Mine
0.0002788543701171875,10,Sklearn
0.006690883636474609,10,Mine
0.0016887903213500977,100,Sklearn
0.13238077163696288,100,Mine
0.001528763771057129,90,Sklearn
0.13909556865692138,90,Mine
0.0013982295989990235,80,Sklearn
0.09126470088958741,80,Mine
0.001344919204711914,70,Sklearn
0.08938083648681641,70,Mine
0.0010521411895751953,60,Sklearn
0.04236268997192383,60,Mine
0.0013818740844726562,50,Sklearn
0.08027133941650391,50,Mine
0.0012410640716552734,40,Sklearn
0.05788099765777588,40,Mine
0.0011468172073364259,30,Sklearn
0.04454436302185059,30,Mine
0.0009847164154052734,20,Sklearn
0.027982521057128906,20,Mine
0.00024864673614501955,10,Sklearn
0.0065468549728393555,10,Mine
0.0017273902893066406,100,Sklearn
0.10952627658843994,100,Mine
0.0012913227081298828,90,Sklearn
0.14961254596710205,90,Mine
0.0012887239456176758,80,Sklearn
0.11239461898803711,80,Mine
0.0019365072250366211,70,Sklearn
0.13763184547424318,70,Mine
0.0011415481567382812,60,Sklearn
0.06765046119689941,60,Mine
0.0007657051086425781,50,Sklearn
0.039302515983581546,50,Mine
0.0008351802825927734,40,Sklearn
0.040633440017700195,40,Mine
0.0009913682937622071,30,Sklearn
0.04473071098327637,30,Mine
0.0008431911468505859,20,Sklearn
0.0327815055847168,20,Mine
0.0009806156158447266,10,Sklearn
0.01538379192352295,10,Mine
0.0015964031219482422,100,Sklearn
0.11347794532775879,100,Mine
0.0017394065856933595,90,Sklearn
0.12891440391540526,90,Mine
0.0014273405075073242,80,Sklearn
0.09732558727264404,80,Mine
0.001133871078491211,70,Sklearn
0.06310453414916992,70,Mine
0.0014340877532958984,60,Sklearn
0.08262372016906738,60,Mine
0.0007397413253784179,50,Sklearn
0.038596081733703616,50,Mine
0.0009459257125854492,40,Sklearn
0.046478891372680665,40,Mine
0.0010885000228881836,30,Sklearn
0.07147884368896484,30,Mine
0.0008426666259765625,20,Sklearn
0.02951204776763916,20,Mine
0.0007496118545532226,10,Sklearn
0.01427617073059082,10,Mine
0.0017370462417602539,100,Sklearn
0.11461048126220703,100,Mine
0.001582193374633789,90,Sklearn
0.10312111377716064,90,Mine
0.0013210058212280273,80,Sklearn
0.08426492214202881,80,Mine
0.0018323659896850586,70,Sklearn
0.11387817859649658,70,Mine
0.0005990028381347656,60,Sklearn
0.04326581954956055,60,Mine
0.001332998275756836,50,Sklearn
0.08408124446868896,50,Mine
0.0006278514862060547,40,Sklearn
0.04542267322540283,40,Mine
0.0008438587188720703,30,Sklearn
0.04195830821990967,30,Mine
0.0008891344070434571,20,Sklearn
0.035562562942504886,20,Mine
0.0006951570510864257,10,Sklearn
0.014625883102416993,10,Mine
0.0017372846603393554,100,Sklearn
0.15235955715179444,100,Mine
0.0015812397003173828,90,Sklearn
0.12053976058959961,90,Mine
0.0010901212692260743,80,Sklearn
0.07752838134765624,80,Mine
0.0016380548477172852,70,Sklearn
0.10197703838348389,70,Mine
0.001141834259033203,60,Sklearn
0.059723830223083495,60,Mine
0.0009412288665771485,50,Sklearn
0.04508907794952392,50,Mine
0.0012003421783447266,40,Sklearn
0.04427659511566162,40,Mine
0.0012616634368896485,30,Sklearn
0.044238734245300296,30,Mine
0.000947260856628418,20,Sklearn
0.02975590229034424,20,Mine
0.000595998764038086,10,Sklearn
0.014424943923950195,10,Mine
0.0025902271270751955,100,Sklearn
0.13450682163238525,100,Mine
0.0014855623245239257,90,Sklearn
0.10899736881256103,90,Mine
0.0011907339096069336,80,Sklearn
0.07337079048156739,80,Mine
0.0017505884170532227,70,Sklearn
0.12214405536651611,70,Mine
0.000991511344909668,60,Sklearn
0.05327157974243164,60,Mine
0.0009470462799072265,50,Sklearn
0.07789902687072754,50,Mine
0.0013886213302612305,40,Sklearn
0.06486268043518066,40,Mine
0.0011850595474243164,30,Sklearn
0.057253122329711914,30,Mine
0.0010471343994140625,20,Sklearn
0.030005168914794923,20,Mine
0.0005437374114990234,10,Sklearn
0.013091731071472167,10,Mine
0.0013453960418701172,100,Sklearn
0.10274646282196045,100,Mine
